Ilce,Mahalle,Yil,Mevsim,Sicaklik,Nufus,Enlem,Boylam,SuTuketimi
Seyhan,2000 Evler,2019,Kış,5,14698,37.028591,35.264854,42658
Seyhan,2000 Evler,2019,İlkbahar,22,14698,37.028591,35.264854,55115
Seyhan,2000 Evler,2019,Yaz,43,14698,37.028591,35.264854,65839
Seyhan,2000 Evler,2019,Sonbahar,23,14698,37.028591,35.264854,50936
Seyhan,2000 Evler,2020,Kış,16,14698,37.028591,35.264854,45955
Seyhan,2000 Evler,2020,İlkbahar,28,14698,37.028591,35.264854,56961
Seyhan,2000 Evler,2020,Yaz,37,14698,37.028591,35.264854,64047
Seyhan,2000 Evler,2020,Sonbahar,19,14698,37.028591,35.264854,49754
Seyhan,2000 Evler,2021,Kış,11,14698,37.028591,35.264854,44473
Seyhan,2000 Evler,2021,İlkbahar,21,14698,37.028591,35.264854,54669
Seyhan,2000 Evler,2021,Yaz,36,14698,37.028591,35.264854,63701
Seyhan,2000 Evler,2021,Sonbahar,20,14698,37.028591,35.264854,50042
Seyhan,2000 Evler,2022,Kış,16,14698,37.028591,35.264854,45840
Seyhan,2000 Evler,2022,İlkbahar,26,14698,37.028591,35.264854,56451
Seyhan,2000 Evler,2022,Yaz,39,14698,37.028591,35.264854,64570
Seyhan,2000 Evler,2022,Sonbahar,10,14698,37.028591,35.264854,47243
Seyhan,2000 Evler,2023,Kış,2,14698,37.028591,35.264854,41823
Seyhan,2000 Evler,2023,İlkbahar,22,14698,37.028591,35.264854,55130
Seyhan,2000 Evler,2023,Yaz,41,14698,37.028591,35.264854,65123
Seyhan,2000 Evler,2023,Sonbahar,20,14698,37.028591,35.264854,50209
Seyhan,Ahmet Remzi Yüreğir,2019,Kış,5,1260,36.997032,35.306839,4895
Seyhan,Ahmet Remzi Yüreğir,2019,İlkbahar,29,1260,36.997032,35.306839,12785
Seyhan,Ahmet Remzi Yüreğir,2019,Yaz,35,1260,36.997032,35.306839,14960
Seyhan,Ahmet Remzi Yüreğir,2019,Sonbahar,23,1260,36.997032,35.306839,10820
Seyhan,Ahmet Remzi Yüreğir,2020,Kış,3,1260,36.997032,35.306839,4485
Seyhan,Ahmet Remzi Yüreğir,2020,İlkbahar,27,1260,36.997032,35.306839,12307
